id,ts,temperatura,humedadRelativa,lluvia,viento,radiacion
meteorologia-predio-01,2026-09-24T15:37:38.089Z,27.4,71,0.2,7.7,816
meteorologia-predio-01,2026-09-24T15:47:38.796Z,27.5,71,0.2,7.9,815
meteorologia-predio-01,2026-09-24T15:57:39.585Z,27.5,71,0.2,7.9,815
meteorologia-predio-01,2026-09-24T18:47:53.349Z,26.9,79,0.3,5.2,731
meteorologia-predio-01,2026-09-24T19:57:59.149Z,28.7,67,0,5.7,426
meteorologia-predio-01,2026-09-25T00:08:19.124Z,26,79,0,1,0
meteorologia-predio-01,2026-09-25T01:08:23.966Z,25.1,83,0,0.6,0
meteorologia-predio-01,2026-09-25T02:48:32.022Z,23.9,85,0,2.5,0
meteorologia-predio-01,2026-09-24T14:07:31.114Z,25.4,78,0,4.9,547
meteorologia-predio-01,2026-09-24T14:17:31.811Z,25.8,76,0.1,5.4,626
meteorologia-predio-01,2026-09-24T16:57:44.253Z,27.4,72,0.2,7.9,734
meteorologia-predio-01,2026-09-24T17:17:45.995Z,27.6,73,0.5,7.4,775
meteorologia-predio-01,2026-09-24T17:27:46.743Z,27.6,73,0.5,7.4,775
meteorologia-predio-01,2026-09-24T23:18:15.06Z,26.5,78,0,0.9,0
meteorologia-predio-01,2026-09-25T01:28:25.523Z,24.8,84,0,1.1,0
meteorologia-predio-01,2026-09-24T13:57:30.353Z,25.2,79,0,4.7,479
meteorologia-predio-01,2026-09-24T20:07:59.942Z,28.5,67,0,5.4,390
meteorologia-predio-01,2026-09-24T21:48:08.071Z,27.8,73,0,2.6,206
meteorologia-predio-01,2026-09-24T22:18:10.461Z,27.4,76,0,2.2,98
meteorologia-predio-01,2026-09-24T22:38:12.056Z,27.1,76,0,1.8,54
meteorologia-predio-01,2026-09-24T23:38:16.751Z,26.4,78,0,1,0
meteorologia-predio-01,2026-09-24T23:58:18.311Z,26.2,78,0,1.3,0
meteorologia-predio-01,2026-09-25T01:58:27.866Z,24.1,87,0,2.3,0
